Core: hps_sdram_p0 - Instance: inst25|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.601,0.583
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.158,--
"Core (Slow 1100mV 85C Model)",1.73,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.463,0.286
"DQS vs CK (Slow 1100mV 85C Model)",0.667,0.284
"Postamble (Slow 1100mV 85C Model)",0.424,0.424
"Read Capture (Slow 1100mV 85C Model)",0.234,0.187
"Write (Slow 1100mV 85C Model)",0.242,0.242
"Address Command (Slow 1100mV 0C Model)",0.589,0.582
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.185,--
"Core (Slow 1100mV 0C Model)",1.727,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.554,0.28
"DQS vs CK (Slow 1100mV 0C Model)",0.673,0.323
"Postamble (Slow 1100mV 0C Model)",0.411,0.411
"Read Capture (Slow 1100mV 0C Model)",0.25,0.203
"Write (Slow 1100mV 0C Model)",0.254,0.254
"Address Command (Fast 1100mV 85C Model)",0.631,0.63
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.294,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.774,0.397
"DQS vs CK (Fast 1100mV 85C Model)",0.73,0.42
"Postamble (Fast 1100mV 85C Model)",0.516,0.516
"Read Capture (Fast 1100mV 85C Model)",0.371,0.324
"Write (Fast 1100mV 85C Model)",0.311,0.311
"Address Command (Fast 1100mV 0C Model)",0.609,0.661
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.307,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.872,0.373
"DQS vs CK (Fast 1100mV 0C Model)",0.727,0.448
"Postamble (Fast 1100mV 0C Model)",0.521,0.521
"Read Capture (Fast 1100mV 0C Model)",0.371,0.324
"Write (Fast 1100mV 0C Model)",0.325,0.325
